u  v  w
2328198114  1177144855  1028.12
2328274211  3130862908  680.647
2328274211  1177144749  764.265
2328888214  1996234339  4272.706
2328888251  1177136395  718.146
2328888251  3983089017  1069.912
2328892184  2708232838  104.659
2328915023  2328888214  483.421
2328915023  1177136767  976.692
2328915098  2708232830  336.015
2328915098  2328892184  767.34
2330728678  2328274211  3113.141
2330735194  2330728678  1062.815
2330735194  1177136249  949.002
2330735257  2330735269  933.66
2330735257  2331859584  597.977
2330735269  1177136575  144.968
2331677908  2330735269  402.895
2331677908  2331677912  646.868
2331677912  4823428867  1849.836
2331859584  4823429073  898.825
2331876788  2328888251  6715.137
2351788726  3752959440  524.237
2351788726  2351792514  1361.794
2351792514  1428335520  7293.307
2426515782  2426515798  189.527
2426515784  9628937614  446.175
2426515784  9629011130  247.92
2426515798  3752959454  22.504
2426548462  2426556879  16.442
2426548462  2456473796  290.894
2426548468  6871830034  16.663
2426548468  2963365558  99.106
2426548482  5206432732  93.063
2426556879  2456473813  19.472
2426556879  5206432774  685.354
2426556886  2456473785  13.546
2426556886  6509490642  134.251
2426556890  5143131026  508.114
2426556893  7052554611  37.528
2426556893  2456473797  12.71
2426556897  1415634181  21.479
2426556897  8586066873  87.967
2426556900  8602642219  59.427
2426556900  2456473764  17.681
2426556902  2456473772  22.501
2426556902  2426556886  508.858
2426556903  9713509739  15.962
2426556903  9713509734  187.077
2426556905  6436910435  14.903
2426556905  2426556900  549
2426556910  6149494119  468.931
2426556910  2865686263  494.745
2426556914  2964889759  46.711
2426556914  6436910416  13.197
2456473561  9463079739  68.752
2456473561  9463079737  62.196
2456473563  9463079736  17.248
2456473563  9463079734  78.92
2456473602  2456473607  20.146
2456473602  8586081222  52.718
2456473607  2456473608  24.176
2456473608  1415634219  22.743
2456473608  2456473610  196.064
2456473610  6196081839  14.498
2456473632  8566480723  487.258
2456473633  8586066904  43.132
2456473633  6196081804  23.085
2456473634  8586066886  23.044
2456473634  1415634152  21.486
2456473692  6196081749  39.29
2456473692  3012876468  2093.13
2456473695  2456473692  15.876
2456473709  1415634188  537.798
2456473709  2456473720  121.692
2456473711  2456473709  16.319
2456473711  2456473709  2804.838
2456473718  2456473730  119.315
2456473718  2456473711  258.579
2456473719  2456473718  18.329
2456473719  6196081728  291.66
2456473720  2456473722  15.124
2456473720  4823384075  232.577
2456473722  2456473711  122.185
2456473722  2456473730  256.986
2456473724  2456473719  326.7
2456473724  2456473748  162.957
2456473727  8611825847  54.104
2456473727  2456473751  116.852
2456473729  2456473727  21.263
2456473729  8611825855  57.104
2456473730  2456473731  12.993
2456473730  2456473795  454.693
2456473731  2456473748  296.504
2456473731  2456473719  117.66
2456473735  8611825848  91.233
2456473741  2456473735  130.317
2456473741  1428335521  168.036
2456473748  8611825824  40.546
2456473751  2456473756  18.671
2456473751  8611825832  66.052
2456473756  8611825840  55.876
2456473756  2456473729  118.131
2456473764  6149497585  503.52
2456473765  1428335521  105.044
2456473765  2456473735  176.42
2456473771  2456473774  24.038
2456473771  2456473764  645.794
2456473772  2456473771  21.515
2456473772  4853737182  490.591
2456473774  2426556902  20.896
2456473774  2865686248  528.86
2456473781  2426556886  21.113
2456473781  2456473772  509.617
2456473782  2456473781  14.316
2456473782  2456473722  415.891
2456473785  2456473782  22.093
2456473785  4345554852  232.655
2456473795  2426556893  17.469
2456473795  2456473782  275.955
2456473796  8611825820  355.27
2456473796  2456473795  12.991
2456473797  2456473796  17.395
2456473797  2426556879  287.158
2456473808  2426548462  17.825
2456473808  8611825833  487.258
2456473813  2456473808  16.065
2456473813  7052554597  202.737
2456473827  2456473855  331.529
2456473827  2456473831  534.755
2456473831  9399103455  224.661
2456473841  691167128  410.773
2456473841  4314376376  327.1
2456473855  691167110  139.686
2456473891  4314376323  511.694
2456473891  4314376352  297.307
2456473904  691167197  12.519
2456473904  6196101097  55.963
2456473921  7052554610  76.526
2456473921  7052554598  68.049
2456473926  4306315511  221.641
2456473940  2456473926  107.866
2456473940  4314376321  1112.982
2456473955  4853737302  37.802
2456473956  6871830217  83.602
2456473956  2456473959  20.112
2456473957  5206432770  45.441
2456473957  6871716429  60.068
2456473959  2456473961  15.369
2456473959  6871830210  101.81
2456473961  2456473966  94.04
2456473961  691167174  19.859
2456473963  2426556914  16.923
2456473963  6436910404  48.772
2456473966  8420784711  28.171
2456473969  6871716427  102.715
2456473969  4823384135  166.662
2456473982  8543937040  330.767
2456473983  691167199  67.136
2456473983  7425786899  48.746
2456473985  2456473987  22.316
2456473985  2963365562  44.972
2456473986  4823384150  66.887
2456473986  1415634149  77.519
2456473987  691167164  13.725
2456473987  4314376393  3262.626
2456474010  2456473983  772.734
2456474010  10568861642  882.62
2456474032  2456474033  16.443
2456474032  6436910255  30.453
2456474033  6436910250  49.578
2456474033  2963365602  16.618
2456474034  2963365604  15.013
2456474034  6436910224  35.066
2456474035  6436910228  32.107
2456474035  2456474034  10.301
2456474052  1415634166  19.26
2456474052  2456474055  869.048
2456474055  9237645080  1053.539
2456474055  4823384104  1586.71
2456474056  2456474055  21.464
2456474056  1415634166  898.325
2456474073  2964668588  15.085
2456474073  2964668580  162.427
2456474074  2456474073  20.48
2708232830  6526054762  9.558
2708232838  4305626946  116.927
2708232838  4305650348  459.551
2708232840  4305653593  525.171
2708232840  4305650358  369.809
2865686238  2865686249  19.132
2865686238  2865686251  401.113
2865686239  2865686238  21.585
2865686239  6147489604  482.041
2865686240  8420784698  13.72
2865686240  2865686253  426.447
2865686242  2865686246  17.098
2865686242  6436910429  38.247
2865686243  1415634415  639.953
2865686243  4853737221  10.361
2865686245  2865686243  13.189
2865686246  6436910425  32.559
2865686246  6436910222  11.594
2865686247  8602619713  398.348
2865686247  6436910428  513.777
2865686247  2865686240  21.611
2865686248  2865686247  585.645
2865686248  2865686239  18.598
2865686249  2865686248  21.636
2865686249  2426556902  529.466
2865686250  2865686249  406.714
2865686250  2865686251  18.598
2865686251  5206432734  268.656
2865686253  2426556903  529.83
2865686253  8420784691  509.682
2865686263  2426556897  650.929
2865686263  8975876379  982.881
2961297930  2961333373  296.485
2961333373  2961333415  120.278
2961333373  2961333404  375.045
2961333403  2961333415  215.025
2961333412  2961297930  206.452
2961333412  2963991301  34.091
2961333415  2961297910  110.59
2961336682  2961351336  19.197
2961336682  5233559552  162.135
2961336691  2961336682  183.039
2961336722  5232284211  1522.953
2961336730  2961336691  139.26
2961351336  1680627085  229.638
2961359843  2961297923  418.102
2961359843  5232284108  1492.854
2961359869  9482863872  85.55
2961359869  5232284124  499.237
2961371106  1957078149  107.744
2961371111  2961371410  13.734
2961371111  2961392367  620.431
2961371113  2961371111  17.055
2961371409  2961371113  13.18
2961371409  2961371106  2601.985
2961371410  2961371409  17.102
2961371410  8151746941  547.427
2961371641  2961371106  91.312
2961371641  2961371646  67.634
2961371646  2961371113  2555.787
2961392345  4823384131  255.702
2961392345  9398831903  269.785
2961392367  8151746920  13.495
2961392367  8075242098  423.396
2961392374  2456473940  194.578
2961392377  2961392374  72.435
2961392377  4823384048  370.987
2961398586  2963990724  555.151
2961398587  5318554747  13.062
2961398587  5318555953  66.464
2961398594  4525898199  53.438
2961398594  4525898205  49.063
2961398604  4525898169  47.767
2961398604  4525886302  123.431
2961398622  4525886397  77.705
2961398622  4525886264  49.25
2961398628  1680581575  94.35
2961398628  2961398586  146.015
2961399133  2963992096  23.974
2961399135  8426273604  975.414
2961399146  8426273602  112.369
2961399146  8585160289  19.662
2961399154  1680581570  123.812
2961399154  2961399133  160.493
2961407755  2961407790  31.371
2961407755  2961417249  420.99
2961407760  2961407784  298.237
2961407784  2961407755  384.987
2961407790  2961371646  278.045
2961417247  2961417265  97.091
2961417249  9403957086  320.084
2961417249  2961417247  142.628
2961417250  2961417247  198.327
2961417251  2963976736  131.325
2961417258  2961407784  847.145
2961417258  2963969257  4253.629
2961417265  2961417250  177.504
2963365558  5206432729  134.182
2963365559  2456473985  50.616
2963365559  2963365562  68.721
2963365562  8420786126  297.661
2963365589  2426556890  16.463
2963365589  6436910258  562.329
2963365601  6436910241  29.124
2963365601  2456474032  16.09
2963365602  2963365601  16.859
2963365602  6436910245  48.678
2963365604  2963365605  9.882
2963365604  6436910236  42.178
2963365605  6436910232  39.298
2963365605  2456474035  15.511
2963365739  9977925179  27.484
2963365788  6521899312  33.93
2963365788  7774128017  249.309
2963365795  2963365788  40.261
2963365800  9399516724  3.759
2963365800  9399447090  21.16
2963365808  8426273609  38.321
2963365808  2963365810  17.206
2963365810  8426273603  16.944
2963365810  2963365813  19.23
2963365811  2963365808  19.01
2963365811  4525897887  95.772
2963365813  2963365811  16.285
2963365827  9399447092  294.928
2963365936  2964721233  81.99
2963365936  4525897887  259.519
2963365945  2963365955  234.89
2963365945  2963365965  181.063
2963365947  2961399146  167.055
2963365947  8420786139  266.526
2963365955  2963365827  226.524
2963365960  2963365936  229.514
2963365960  8151591078  204.955
2963365965  4314412904  28.614
2963365965  2963365955  82.325
2963365970  4525886289  135.824
2963365971  2963365970  29.757
2963365978  2963365971  200.481
2963365979  662258660  127.192
2963365979  662258634  315.048
2963366008  662258635  14.41
2963366008  7959360079  44.093
2963366019  2963365978  587.638
2963366026  2963366019  281.179
2963366026  8420786169  162.336
2963366028  2963366026  18.437
2963366028  1428682557  1025.268
2963366148  2963366152  14.763
2963366148  6196101488  518.656
2963366150  2964052237  774.801
2963366152  2963366155  19.976
2963366153  2963366150  41.349
2963366153  2963366148  21.362
2963366155  2963366153  12.656
2963366155  9403957238  185.465
2963366159  2963366153  49.024
2963366159  2963366150  72.707
2963970793  8075299756  388.284
2963970800  2963970803  477.579
2963970803  2963970805  309.242
2963970803  8585638964  579.084
2963970805  5318554761  8.728
2963970805  2963970793  16.688
2963976736  2961417250  7.577
2963976739  8244788906  964.256
2963976742  2963976736  845.318
2963976742  2963976739  237.233
2963976746  2963976742  435.892
2963976746  2963991301  762.706
